Epoch 262    Validation MSELoss: 2.595651e-04    Training MSELoss: 1.365534e-04
Epoch 263    Validation MSELoss: 2.137729e-04    Training MSELoss: 1.154508e-04
Epoch 264    Validation MSELoss: 2.549628e-04    Training MSELoss: 1.424649e-04
Epoch 265    Validation MSELoss: 1.831374e-04    Training MSELoss: 1.393774e-04
Epoch 266    Validation MSELoss: 1.923238e-04    Training MSELoss: 1.221603e-04
Epoch 267    Validation MSELoss: 1.452836e-04    Training MSELoss: 1.237825e-04
Epoch 268    Validation MSELoss: 1.922424e-04    Training MSELoss: 1.340458e-04
Epoch 269    Validation MSELoss: 1.366455e-04    Training MSELoss: 1.291642e-04
Epoch 270    Validation MSELoss: 1.396890e-04    Training MSELoss: 1.233580e-04
Epoch 271    Validation MSELoss: 1.930138e-04    Training MSELoss: 1.465505e-04
Epoch 272    Validation MSELoss: 1.347291e-04    Training MSELoss: 1.233400e-04
Epoch 273    Validation MSELoss: 1.424543e-04    Training MSELoss: 1.391472e-04
Epoch 274    Validation MSELoss: 2.287488e-04    Training MSELoss: 1.480509e-04
Epoch 275    Validation MSELoss: 2.804606e-04    Training MSELoss: 1.560414e-04
Epoch 276    Validation MSELoss: 2.053701e-04    Training MSELoss: 1.380264e-04
Epoch 277    Validation MSELoss: 3.581855e-04    Training MSELoss: 1.235229e-04
Epoch 278    Validation MSELoss: 2.872846e-04    Training MSELoss: 1.527324e-04
Epoch 279    Validation MSELoss: 3.852614e-04    Training MSELoss: 1.394961e-04
Epoch 280    Validation MSELoss: 2.066951e-04    Training MSELoss: 1.193801e-04
Epoch 281    Validation MSELoss: 2.523361e-04    Training MSELoss: 1.488536e-04
Epoch 282    Validation MSELoss: 1.405196e-04    Training MSELoss: 1.274654e-04
Epoch 283    Validation MSELoss: 1.802812e-04    Training MSELoss: 1.329340e-04
Epoch 284    Validation MSELoss: 2.863514e-04    Training MSELoss: 1.433921e-04
Epoch 285    Validation MSELoss: 2.229482e-04    Training MSELoss: 1.360944e-04
Epoch 286    Validation MSELoss: 2.011031e-04    Training MSELoss: 1.305405e-04
Epoch 287    Validation MSELoss: 1.808091e-04    Training MSELoss: 1.656409e-04
Epoch 288    Validation MSELoss: 1.694324e-04    Training MSELoss: 2.679890e-04
Epoch 289    Validation MSELoss: 1.672420e-04    Training MSELoss: 1.333249e-04
Epoch 290    Validation MSELoss: 1.197142e-04    Training MSELoss: 1.359879e-04
Epoch 291    Validation MSELoss: 1.170159e-04    Training MSELoss: 1.613718e-04
Epoch 292    Validation MSELoss: 1.788005e-04    Training MSELoss: 1.424124e-04
Epoch 293    Validation MSELoss: 2.125780e-04    Training MSELoss: 1.439814e-04
Epoch 294    Validation MSELoss: 3.233283e-04    Training MSELoss: 1.380590e-04
Epoch 295    Validation MSELoss: 1.215645e-04    Training MSELoss: 1.627255e-04
Epoch 296    Validation MSELoss: 1.609995e-04    Training MSELoss: 1.183268e-04
Epoch 297    Validation MSELoss: 1.880035e-04    Training MSELoss: 3.939487e-04
Epoch 298    Validation MSELoss: 5.909335e-04    Training MSELoss: 1.338186e-04
Epoch 299    Validation MSELoss: 3.148087e-04    Training MSELoss: 1.355878e-04
Epoch 300    Validation MSELoss: 2.802837e-04    Training MSELoss: 1.421237e-04
Epoch 301    Validation MSELoss: 1.967087e-04    Training MSELoss: 1.494442e-04
Epoch 302    Validation MSELoss: 1.459658e-04    Training MSELoss: 1.232632e-04
